picked_by,first_name,last_name,full_name,player_id,position,team,years_exp,rookie_year,rookie_deal,contract_length,sal_rank,ntc_elig,_2023_2024,_2024_2025,_2025_2026,contracts_needed,Y0,Y1,Y2,taxi
nbaguy8,Tee,Higgins,Tee Higgins,6801,WR,CIN,3,2020,,3,69,,$11,$14,$17,0,,,,
nbaguy8,James,Conner,James Conner,4137,RB,ARI,6,2017,,2,71,,$10,$12,.,0,,,,
nbaguy8,Garrett,Wilson,Garrett Wilson,8146,WR,NYJ,1,2022,,2,87,,$7,$10,.,0,,,,
nbaguy8,Jared,Goff,Jared Goff,3163,QB,DET,7,2016,,1,98,,$6,,,0,,,,
nbaguy8,DeAndre,Hopkins,DeAndre Hopkins,1426,WR,TEN,10,2013,,3,100,,$5,$6,$8,0,,,,
nbaguy8,Miles,Sanders,Miles Sanders,6151,RB,CAR,4,2019,,1,100,,$5,,,0,,,,
nbaguy8,Zay,Flowers,Zay Flowers,9997,WR,BAL,0,2023,Y,3,100,,$5,$7,$10,0,,,,X
nbaguy8,Tyler,Lockett,Tyler Lockett,2374,WR,SEA,8,2015,,1,133,,$3,,,0,,,,
nbaguy8,Jamaal,Williams,Jamaal Williams,4149,RB,NO,6,2017,,1,133,,$3,,,0,,,,
nbaguy8,Calvin,Ridley,Calvin Ridley,4981,WR,JAX,5,2018,,2,133,,$3,$4,.,0,,,,
nbaguy8,Rashaad,Penny,Rashaad Penny,4985,RB,PHI,5,2018,,2,133,,$3,$4,,0,,,,
nbaguy8,Tank,Dell,Tank Dell,9502,WR,HOU,0,2023,Y,3,133,,$3,$4,$6,0,,,,X
nbaguy8,Jimmy,Garoppolo,Jimmy Garoppolo,1837,QB,LV,9,2014,,1,162,,$2,,,0,,,,
nbaguy8,Mike,Williams,Mike Williams,4068,WR,LAC,6,2017,,3,162,,$2,$3,$4,0,,,,
nbaguy8,Gus,Edwards,Gus Edwards,5248,RB,BAL,5,2018,,1,162,,$2,,.,0,,,,
nbaguy8,Jakobi,Meyers,Jakobi Meyers,5947,WR,LV,4,2019,,1,162,,$2,,.,0,,,,
nbaguy8,Sean,Tucker,Sean Tucker,9506,RB,TB,0,2023,Y,3,194,,$1,$1,$2,0,,,,X
jdigi15,Dalvin,Cook,Dalvin Cook,4029,RB,NYJ,6,2017,,1,4,,$68,,.,0,,,,
jdigi15,Joe,Burrow,Joe Burrow,6770,QB,CIN,3,2020,,2,9,,$60,$72,.,0,,,,
jdigi15,Michael,Pittman,Michael Pittman,6819,WR,IND,3,2020,,2,26,,$35,$42,.,0,,,,
jdigi15,Deshaun,Watson,Deshaun Watson,4017,QB,CLE,6,2017,,1,33,,$24,,.,0,,,,
jdigi15,DJ,Moore,DJ Moore,4983,WR,CHI,5,2018,,1,33,,$24,,.,0,,,,
jdigi15,George,Kittle,George Kittle,4217,TE,SF,6,2017,,2,45,,$18,$22,.,0,,,,
jdigi15,Trevor,Lawrence,Trevor Lawrence,7523,QB,JAX,2,2021,,2,45,,$18,$22,.,0,,,,
jdigi15,Jaxon,Smith-Njigba,Jaxon Smith-Njigba,9488,WR,SEA,0,2023,Y,3,52,,$15,$21,$29,0,,,,X
jdigi15,AJ,Dillon,AJ Dillon,6828,RB,GB,3,2020,,2,71,,$10,$12,.,0,,,,
jdigi15,De'Von,Achane,De'Von Achane,9226,RB,MIA,0,2023,Y,3,100,,$5,$7,$10,0,,,,X
jdigi15,Darnell,Mooney,Darnell Mooney,7090,WR,CHI,3,2020,,2,126,,$4,$5,.,0,,,,
jdigi15,Dalton,Schultz,Dalton Schultz,5001,TE,HOU,5,2018,,1,133,,$3,,,1,X,,,
jdigi15,Kadarius,Toney,Kadarius Toney,7606,WR,KC,2,2021,,2,133,,$3,$4,,1,,X,,
jdigi15,Michael,Gallup,Michael Gallup,5038,WR,DAL,5,2018,,1,162,,$2,,.,0,,,,
jdigi15,Greg,Dulcich,Greg Dulcich,8172,TE,DEN,1,2022,,2,162,,$2,$3,.,0,,,,X
jdigi15,Robert,Woods,Robert Woods,1352,WR,HOU,10,2013,,1,194,,$1,,,1,X,,,
jdigi15,Tyler,Boyd,Tyler Boyd,3225,WR,CIN,7,2016,,1,194,,$1,,,1,X,,,
jdigi15,Curtis,Samuel,Curtis Samuel,4082,WR,WAS,6,2017,,1,194,,$1,,,1,X,,,
jdigi15,Irv,Smith,Irv Smith,6126,TE,CIN,4,2019,,1,194,,$1,,,1,X,,,
jdigi15,Devin,Singletary,Devin Singletary,6130,RB,HOU,4,2019,,1,194,,$1,,,1,X,,,
jdigi15,Zack,Moss,Zack Moss,6845,RB,IND,3,2020,,1,194,,$1,,,1,X,,,
jdigi15,Isaiah,Hodgins,Isaiah Hodgins,6920,WR,NYG,3,2020,,1,194,,$1,,,1,X,,,
jdigi15,Kyren,Williams,Kyren Williams,8150,RB,LAR,1,2022,,1,194,,$1,,,1,X,,,
jdigi15,Malik,Davis,Malik Davis,8800,RB,DAL,1,2022,,1,194,,$1,,,0,,,,
gnawhnehpets,Marvin,Mims,Marvin Mims,9494,WR,DEN,0,2023,Y,3,100,,$5,$7,$10,0,,,,X
antonius405,Patrick,Mahomes,Patrick Mahomes,4046,QB,KC,6,2017,,1,1,,$84,,.,0,,,,
antonius405,Travis,Kelce,Travis Kelce,1466,TE,KC,10,2013,,1,5,,$66,,.,0,,,,
antonius405,Keenan,Allen,Keenan Allen,1479,WR,LAC,10,2013,,1,31,,$30,,.,0,,,,
antonius405,Treylon,Burks,Treylon Burks,8135,WR,TEN,1,2022,,2,38,,$21,$29,.,0,,,,
antonius405,Elijah,Mitchell,Elijah Mitchell,7561,RB,SF,2,2021,,1,52,,$15,,.,0,,,,
antonius405,Van,Jefferson,Van Jefferson,6853,WR,LAR,3,2020,,1,87,,$7,,,1,X,,,
antonius405,Tyler,Allgeier,Tyler Allgeier,8132,RB,ATL,1,2022,,2,87,,$7,$10,.,0,,,,
antonius405,Christian,Watson,Christian Watson,8167,WR,GB,1,2022,,2,100,,$5,$7,.,0,,,,
antonius405,David,Njoku,David Njoku,4033,TE,CLE,6,2017,,2,126,,$4,$5,,1,,X,,
antonius405,Aaron,Rodgers,Aaron Rodgers,96,QB,NYJ,18,2005,,1,133,,$3,,,1,X,,,
antonius405,Chris,Godwin,Chris Godwin,4037,WR,TB,6,2017,,2,133,,$3,$4,.,0,,,,
antonius405,Baker,Mayfield,Baker Mayfield,4892,QB,TB,5,2018,,1,133,,$3,,,1,X,,,
antonius405,Josh,Downs,Josh Downs,9500,WR,IND,0,2023,Y,3,133,,$3,$4,$6,0,,,,X
antonius405,Matthew,Stafford,Matthew Stafford,421,QB,LAR,14,2009,,1,162,,$2,,,1,X,,,
antonius405,Leonard,Fournette,Leonard Fournette,3969,RB,,6,2017,,1,162,,$2,,,1,X,,,
antonius405,JuJu,Smith-Schuster,JuJu Smith-Schuster,4040,WR,NE,6,2017,,2,162,,$2,$3,,1,,X,,
antonius405,Samaje,Perine,Samaje Perine,4147,RB,DEN,6,2017,,1,162,,$2,,,1,X,,,
antonius405,Clyde,Edwards-Helaire,Clyde Edwards-Helaire,6820,RB,KC,3,2020,,1,162,,$2,,,1,X,,,
antonius405,Deon,Jackson,Deon Jackson,7551,RB,IND,2,2021,,1,162,,$2,,,1,X,,,
antonius405,Trey,McBride,Trey McBride,8130,TE,ARI,1,2022,,2,162,,$2,$3,.,0,,,,
antonius405,Chigoziem,Okonkwo,Chigoziem Okonkwo,8210,TE,TEN,1,2022,,2,162,,$2,$3,.,1,,X,,
antonius405,D'Onta,Foreman,D'Onta Foreman,4111,RB,CHI,6,2017,,1,194,,$1,,,1,X,,,
