team,player,full_name_ai,metadata,y0,y1,y2,Rookie,contract_years
patrickchan4687,T. Tagovailoa,Tua Tagovailoa,QB - MIA (11),15,18,22,,3
patrickchan4687,D. Metcalf,DK Metcalf,WR - SEA (11),12,15,18,,3
patrickchan4687,P. Freiermuth,Pat Freiermuth,TE - PIT (9),12,15,18,,
patrickchan4687,T. Hockenson,T.J. Hockenson,TE - DET (6),10,12,15,,
patrickchan4687,M. Sanders,Miles Sanders,RB - PHI (7),8,10,12,,
patrickchan4687,D. Johnson,Diontae Johnson,WR - PIT (9),8,10,12,,3
patrickchan4687,J. Goff,Jared Goff,QB - DET (6),4,5,6,,
patrickchan4687,D. Knox,Dawson Knox,TE - BUF (7),4,5,6,,2
patrickchan4687,R. Woods,Robert Woods,WR - TEN (6),2,3,4,,
patrickchan4687,C. Godwin,Chris Godwin,WR - TB (11),2,3,4,,3
patrickchan4687,A. Cooper,Amari Cooper,WR - CLE (9),2,3,4,,2
patrickchan4687,K. Vaughn,Ke'Shawn Vaughn,RB - TB (11),1,2,3,,
patrickchan4687,J. Patterson,Jaret Patterson,RB - WAS (14),1,2,3,,
patrickchan4687,T. Jones,Tony Jones,RB - NO (14),1,2,3,,
patrickchan4687,D. Williams,Damien Williams,RB - ATL (14),1,2,3,,
patrickchan4687,C. Olave,Chris Olave,WR - NO (14),10,14,20,7,
patrickchan4687,G. Pickens,George Pickens,WR - PIT (9),5,7,10,17,
patrickchan4687,H. Haskins,Hassan Haskins,RB - TEN (6),3,5,7,27,
patrickchan4687,S. Howell,Sam Howell,QB - WAS (14),1,2,3,37,
PersianEmpire99,L. Jackson,Lamar Jackson,QB - BAL (10),75,90,108,,
PersianEmpire99,J. Allen,Josh Allen,QB - BUF (7),69,83,100,,
PersianEmpire99,J. Hurts,Jalen Hurts,QB - PHI (7),47,57,69,,3
PersianEmpire99,T. Etienne,Travis Etienne,RB - JAX (11),30,36,44,,
PersianEmpire99,A. Jones,Aaron Jones,RB - GB (14),26,32,39,,2
PersianEmpire99,K. Hunt,Kareem Hunt,RB - CLE (9),11,14,17,,
PersianEmpire99,M. Brown,Marquise Brown,WR - ARI (13),3,4,5,,
PersianEmpire99,D. Goedert,Dallas Goedert,TE - PHI (7),3,4,5,,
PersianEmpire99,J. Jones,Julio Jones,WR - TB (11),2,3,4,,
PersianEmpire99,R. Bateman,Rashod Bateman,WR - BAL (10),2,3,4,,2
PersianEmpire99,B. Aiyuk,Brandon Aiyuk,WR - SF (9),2,3,4,,3
PersianEmpire99,A. Lazard,Allen Lazard,WR - GB (14),2,3,4,,
PersianEmpire99,R. Moore,Rondale Moore,WR - ARI (13),2,3,4,,
PersianEmpire99,N. Fant,Noah Fant,TE - SEA (11),1,2,3,,2
PersianEmpire99,R. Tonyan,Robert Tonyan,TE - GB (14),1,2,3,,
PersianEmpire99,O. Beckham,Odell Beckham,WR -,1,2,3,,
PersianEmpire99,C. Hubbard,Chuba Hubbard,RB - CAR (13),1,2,3,,
PersianEmpire99,T. Sermon,Trey Sermon,RB - SF (9),1,2,3,,
PersianEmpire99,D. Williams,Darrel Williams,RB - ARI (13),1,2,3,,
PersianEmpire99,T. Higbee,Tyler Higbee,TE - LAR (7),1,2,3,,
PersianEmpire99,J. Williams,Jameson Williams,WR - DET (6),10,14,20,7,
PersianEmpire99,S. Moore,Skyy Moore,WR - KC (8),5,7,10,17,
PersianEmpire99,V. Jones,Velus Jones,WR - CHI (14),3,5,7,27,
PersianEmpire99,D. Bell,David Bell,WR - CLE (9),1,2,3,37,
